Krylov Dimension (k),Eigenvalue Index,Lanczos Eigenvalue,Exact Eigenvalue
5,1,-4.748107072149281,-6.263549533547029
5,2,-2.653544471729997,-5.956443823978611
5,3,-0.534494415422015,-5.748062672689853
5,4,1.4574335636086615,-5.558562833117953
5,5,3.496865187863548,-5.558562833117939
10,1,-6.20133831818756,-6.263549533547029
10,2,-5.276375420483689,-5.956443823978611
10,3,-4.117420297998779,-5.748062672689853
10,4,-2.914120866069704,-5.558562833117953
10,5,-1.6304224033352273,-5.558562833117939
15,1,-6.239972651436439,-6.263549533547029
15,2,-5.8257317689541,-5.956443823978611
15,3,-5.203597447370118,-5.748062672689853
15,4,-4.557442661615193,-5.558562833117953
15,5,-3.730208658044097,-5.558562833117939
20,1,-6.262937659727122,-6.263549533547029
20,2,-5.91638748163459,-5.956443823978611
20,3,-5.647217618726193,-5.748062672689853
20,4,-5.156019214083791,-5.558562833117953
20,5,-4.673767605382768,-5.558562833117939
25,1,-6.263549372297112,-6.263549533547029
25,2,-5.955881247421681,-5.956443823978611
25,3,-5.669724293451608,-5.748062672689853
25,4,-5.488083408279788,-5.558562833117953
25,5,-5.038463171836392,-5.558562833117939
30,1,-6.2635495320107335,-6.263549533547029
30,2,-5.956440508942075,-5.956443823978611
30,3,-5.747995551035544,-5.748062672689853
30,4,-5.558143598667995,-5.558562833117953
30,5,-5.3047321227501385,-5.558562833117939
35,1,-6.263549533531252,-6.263549533547029
35,2,-5.956443817562352,-5.956443823978611
35,3,-5.748055170395272,-5.748062672689853
35,4,-5.558532406995878,-5.558562833117953
35,5,-5.30697659380577,-5.558562833117939
40,1,-6.263549533547026,-6.263549533547029
40,2,-5.956443823975192,-5.956443823978611
40,3,-5.748062657813817,-5.748062672689853
40,4,-5.558559997804608,-5.558562833117953
40,5,-5.311657141345904,-5.558562833117939
45,1,-6.263549533547028,-6.263549533547029
45,2,-5.956443823978326,-5.956443823978611
45,3,-5.748062648605206,-5.748062672689853
45,4,-5.558562831287425,-5.558562833117953
45,5,-5.311719342276392,-5.558562833117939
50,1,-6.263549533547025,-6.263549533547029
50,2,-5.956443823978621,-5.956443823978611
50,3,-5.74806267268924,-5.748062672689853
50,4,-5.558562833090727,-5.558562833117953
50,5,-5.311721029706634,-5.558562833117939
55,1,-6.263549533547041,-6.263549533547029
55,2,-5.956443823978619,-5.956443823978611
55,3,-5.748062672689862,-5.748062672689853
55,4,-5.558562833117918,-5.558562833117953
55,5,-5.311721071737997,-5.558562833117939
60,1,-6.263549533547039,-6.263549533547029
60,2,-5.956443823978615,-5.956443823978611
60,3,-5.748062672689848,-5.748062672689853
60,4,-5.558562833117955,-5.558562833117953
60,5,-5.311721075108252,-5.558562833117939
65,1,-6.263549533547044,-6.263549533547029
65,2,-5.956443823978615,-5.956443823978611
65,3,-5.7480626726898585,-5.748062672689853
65,4,-5.558562833117955,-5.558562833117953
65,5,-5.311721075173944,-5.558562833117939
70,1,-6.263549533547041,-6.263549533547029
70,2,-5.956443823978617,-5.956443823978611
70,3,-5.74806267268985,-5.748062672689853
70,4,-5.558562833117952,-5.558562833117953
70,5,-5.3117210751741215,-5.558562833117939
75,1,-6.263549533547032,-6.263549533547029
75,2,-6.263537295960239,-5.956443823978611
75,3,-5.956443823978617,-5.748062672689853
75,4,-5.748062672689851,-5.558562833117953
75,5,-5.558562833117955,-5.558562833117939
80,1,-6.26354953354703,-6.263549533547029
80,2,-6.263549506033042,-5.956443823978611
80,3,-5.956443823978626,-5.748062672689853
80,4,-5.748062672689848,-5.558562833117953
80,5,-5.558562833117957,-5.558562833117939
85,1,-6.263549533547037,-6.263549533547029
85,2,-6.263549533485159,-5.956443823978611
85,3,-5.956443823978619,-5.748062672689853
85,4,-5.924752098677239,-5.558562833117953
85,5,-5.748062672689853,-5.558562833117939
90,1,-6.263549533547039,-6.263549533547029
90,2,-6.263549533547021,-5.956443823978611
90,3,-5.956443823978619,-5.748062672689853
90,4,-5.956289177541629,-5.558562833117953
90,5,-5.74806267268985,-5.558562833117939
95,1,-6.263549533547032,-6.263549533547029
95,2,-6.263549533547023,-5.956443823978611
95,3,-5.956443823978617,-5.748062672689853
95,4,-5.956443243863243,-5.558562833117953
95,5,-5.748062672689853,-5.558562833117939
100,1,-6.263549533547041,-6.263549533547029
100,2,-6.263549533547037,-5.956443823978611
100,3,-5.956443823978617,-5.748062672689853
100,4,-5.956443823837752,-5.558562833117953
100,5,-5.748062672689837,-5.558562833117939
