Chain Length (L),Anisotropy (Delta),Inverse Chain Length (1/L),Spin Gap (Delta_S)
4,0,0.25,0.4142135623730958
6,0,0.16666666666666666,0.2679491924311235
8,0,0.125,0.19891236737965512
10,0,0.1,0.15838444032452692
12,0,0.08333333333333333,0.13165249758737785
14,0,0.07142857142857142,0.11267293990012295
4,1,0.25,0.9999999999999998
6,1,0.16666666666666666,0.6847416489821012
8,1,0.125,0.5226743450925966
10,1,0.1,0.42323900775337897
12,1,0.08333333333333333,0.3558475137027681
14,1,0.07142857142857142,0.30710570956842265
4,5,0.25,4.372281323269011
6,5,0.16666666666666666,3.855487334842851
8,5,0.125,3.6094787223693556
10,5,0.1,3.471789491857953
12,5,0.08333333333333333,3.3862252204043344
14,5,0.07142857142857142,3.32901280712691
4,10,0.25,9.196152422706625
6,10,0.16666666666666666,8.705603592251553
8,10,0.125,8.483221730891488
10,10,0.1,8.35968955350286
12,10,0.08333333333333333,8.283047618949272
14,10,0.07142857142857142,8.232058979113383
